,questions,labbel
921,какая обстановка на старокозачей границе,border_situation
922,подскажите пожалуйста где меньше очередь   какая таможня свободнее,best_border
923,переходно проездной билет пунк басарабяск как ситуац скольк ждат может кто - нибуд там сейчас спасиб,border_situation
924,над ночлег на сем в кишинев,dwelling
925,Вакцины на животных надо,animals
926,в кишин хот снят апартамент ил хостел взросл и дет,dwelling
927,скажите пропускают через границу животных без паспорта без прививок,animals
928,Где самый близлежащий ночлег,dwelling
929,где лучш таможн,best_border
930,Хочу взять кота впустят ли меня с ним,animals
931,сним дом на сутк в могилев - подольск с животн,dwelling
932,Ищем где возможно поспать   ночь в кишиневе,dwelling
933,на какую границу сейчас лучше ехать подскажите пожалуйста,best_border
934,здравствуйте семья взрослых    детей подьезжаем к границе молдавии   если получится пересечь границу в значительной мере хотим попросить о ночлеге может кто-то может помочь,dwelling
935,Где можно снять дом для целой семьи,dwelling
936,есть информация сейчас какая обстановка на границе в атачь   с той стороны большая очередь  ,border_situation
937,ребят как пропускн пропускной пункт будет работа сегоднязавтр,best_border
938,"это emergency number 
не полиция случайно?",other
939,Извините кто знает если пропустят с животными без пасспорта,animals
940,позвол ли на проездной пунк пройт с нечипирова собак,animals
941,как взять котов с собой,animals
942,Где возможно поспать,dwelling
943,Добрый свет кто сдаст квартиру в кишиневе,dwelling
944,добрый день открыт ли пп мамалыга сейчас какая там обстановка можно на своих двоих,border_situation
945,когда у кого есть квартира в кишеневе на сдачу семье из   человек напишите в личку пожалуйста   комнаты бюджет - в месяц,dwelling
946,Доброе утро где обращатся чтобы получить ночлег,dwelling
947,У моего кота нет вакцин его примут,animals
948,есть у кого-то где-то вблизи тараклии жилье,dwelling
949,скажите какие отелихостелы в кишинёве доступны для беженцев из украины с животными сейчас на границе в паланке стоят моя пожилая мама подруга и её пожилая мама так же у них   котов подскажите пожалуйста любую информацию,dwelling
950,как сейчас обстоит на кпп старокозачье,border_situation
951,подскажите какая очередь из машин в могилев - подольске,border_situation
952,бессарабка как очередь интересует пешеходная скажите пожалуйста,border_situation
953,Скажите пожалуйста где можно перейти границу с собакой,animals
954,как карточка пунк лучш с сторон одес,best_border
955,подскажите пожалуйста через какие кпп можно пройти пешком   желательно не со стороны одессы,best_border
956,все про паланк пишут а что - т слышн про пропускной пункт станиславк там ест волонтер какие - тоесл буд еха то через этот пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
957,Нужна жильё в кишиневе кто может отпишись пожалуйста,dwelling
958,есть вероятность найти жильё в кишинёве для семьи   человек хотя бы на сутки - вторые,dwelling
959,кто может предлож жил,dwelling
960,автомобиль на 12-14 мест - номер 068 771 888,other
961,позвол ли на проездной билет пунк пройт с нечипирова собак,animals
962,подскаж кто сдает жил мы с маленьк ребенк,dwelling
963,  человек из украины ищут жильё среди них дети и пожилые желательно все рядом большая клан кто может помочь,dwelling
964,ребята кто бессарабке на пункте пропуска   как там дела   много людей коль переходить пешком,border_situation
965,ребята как с домашними животными   у нас   крыски- пропустят,animals
966,Если у собаки есть вакцины её пустят в Молдову,animals
967,давайте меня,other
968,какие пункты пересечение в северной части мд свободее со стороны киева,best_border
969,кто на броннице как обстановка,border_situation
970,как сейчас ситуац пункт паланк и карточка пунк старокозач,border_situation
971,У кого питаться в кишиневе жильё,dwelling
972,реб как ест хорош вариант ночлег в кишинев,dwelling
973,добр ден можн с маленьк собак проех таможн молд без документ на собак,animals
974,у ког можн снят апартамент в кишинев на нескольк дне,dwelling
975,росоша молдов нуж дом для сем в как ближн отел свободн спасиб,dwelling
976,"ребята, кто пересекал границу молдовы, выпускали ли людей старше 60 лет? в одессе в эвакуационные поезда мою тётку не пустили, только молодые и матери с детьми",other
977,скорее всего да,other
978,Как раскопать ночлег в Кишиневе,dwelling
979,сквозь как проездной пунк еха,best_border
980,подскаж пропускной пункт пропуск сокиря на машин можн пересеч и как очеред,border_situation
981,Если кот без документов его пустят в Молдову,animals
982,Какие условия чтобы пустили с котом,animals
983,подскажите на какой границе среди молдовой и румынией нет очередей,best_border
984,ребята кто в бессарабке на пункте пропуска   как там дела   много людей если переходить пешком,border_situation
985,все про паланк пишут а что - т слышн про границ станиславк там ест волонтер какие - тоесл буд еха то через этот пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
986,свободн хостел в кишин ест срочн,dwelling
987,Если кот без документов его пустят в Молдову,animals
988,как сейчас обсто на границ старокозач,border_situation
989,в какой части лучше пересекать границу с румынией из молдовы буде переезжать границу лбди будут в пцнуте пропуска могилёв - подольский - отачь,best_border
990,как сам небольш границ на молдов реальн на машин проеха,best_border
991,Скажите пожалуйста где возможно перейти границу с котом,animals
992,Ищу жильё для семьи,dwelling
993,В каком отели есть свободные места,dwelling
994,Пропустят ли с собакой,animals
995,Как зайти в молдову с собакой,animals
996,можно. если есть бензин у вас. до умани тяжёлая дорога. сегодня от умани все чисто доехала быстро. вчера до умани ехала 6 часов,other
997,ест очеред на кпп мамалиг как ситуац,border_situation
998,Как зайти с собакой в Молдову,animals
999,реб как ест хорош вариант отел в кишинев,dwelling
1000,ребята   как граница поланки и староказачье зело загружена,border_situation
1001,На каких сайтах возможно снять квартиру в аренду в Кишиневе,dwelling
1002,скаж где можн найт квартир в кишинев,dwelling
1003,Как зайти с животными,animals
1004,молдова пропустит а с вашей стороны могут не пропустить.,other
1005,Каке документы проверяют у животных,animals
1006,на как границ сейчас лучш всег еха женщин на машин,best_border
1007,какая положение на кучурган кто знает,border_situation
1008,добрый день подскажите пожалуйста на какой пункт лучше отправиться если ехать через новоднестровск,best_border
1009,какая граница не сильно перегруженная в сторону молдавии если ехать с киева,best_border
1010,"‼️‼️
кишинев , есть свободная просторная комната в квартире , до 3-х человек
можно с животными 
пишите в личку‼️‼️",other
1011,в кишин хот снят квартир ил отел взросл и дет,dwelling
1012,Ищем у кого можно поспать несколько днейй,dwelling
1013,Хочу взять кота впустят ли меня с ним,animals
1014,Можете рассказать как перевести котов,animals
1015,подскаж пожалуйст как обсто дел на таможн паланк на дан минута есл еха из одесс то лучш через паланк ил друг пункт болград рен ещ какой - т,best_border
1016,все про паланк пишут а что - т слышн про пропускной пункт станиславк там ест волонтер какие - тоесл буд еха то сквозь настоящий пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
1017,ребята какие границы ближайшие открыты если ехать с одессы,best_border
1018,народ кто проехал паланку скажите пожалуйста с животными пускают если да какие условия,animals
1019,У собаки нет документов пустят ли его через границу,animals
1020,да,other
1021,добрый свет семья   взрослых   ребёнок лет уже в молдове ищем теплое жильётак как сейчас живём в неотапливаемом домебез горячей водыв новых ананах живём помогите пожалуйста,dwelling
1022,Ищу квартиру в аренду,dwelling
1023,подскаж где меньш пробк для аат есл еха из чернрвц румын ил молдов как пункт,best_border
1024,как сейчас ситуац пропускной пункт паланк и кпп старокозач,border_situation
1025,позвол ли на пропускной пункт пройт с нечипирова собак,animals
1026,долинское кто знает какая там обстановка,border_situation
1027,как обстановка в татарбунарах белгород - днестровский,border_situation
1028,Какие условия чтобы пустили с животными,animals
1029,"скажите пожалуйста 🙏 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
граница «кучурганы» открыта ?",other
1030,над снят квартир в кишинев для человек и кот,dwelling
1031,доброжелательный день как обстановка на паланке и староказачьем едем с одессы подскажите пожалуйста,best_border
1032,здравствуйте на какой пункт пересечения с молдовой лучше ехать со стороны винницкой или черновицкой обл,best_border
1033,Где самый недалёкий ночлег,dwelling
1034,как найт отел в кишинев,dwelling
1035,Добрый день кто сдаст квартиру в кишиневе,dwelling
1036,абонемент пунк старокозач ест ли какая - т инф очеред,border_situation
1037,есть кто на границе в могильце подольском как там сейчас с нагрузкой,border_situation
1038,подскажите пожалуйста   как пускают в паланку с собакой нужны ли документы чип,animals
1039,сним дом на сутк в могилев - подольск с животн,dwelling
1040,коль я еду с ребёнком   на какую границу ехать что б не стоять по   часов,best_border
1041,сердечный день как раскопать жильё в кишеневе,dwelling
1042,добросердечный свет как обстановка на паланке и староказачьем едем с одессы подскажите пожалуйста,best_border
1043,Как зайти в молдову ежели нет вакцин на котов,animals
1044,где найт апартамент в кишинев,dwelling
1045,ребята подскажите впускают на какой-то границе с домашними животными без прививок,animals
1046,подскаж проездной пунк пропуск сокиря на машин можн пересеч и как очеред,border_situation
1047,"приднестровье , где можно ночевать ? 🙏🥺
нас 3 ребёнка , 3 взрослых девушки , и 1 мужчина",other
1048,как врем ожидан на кпп атак сейчас,border_situation
1049,Принимают ли с животными через границу,animals
1050,кто на границе коростено смольница как там обстановка,border_situation
1051,Через Паланку пропустят с животными,animals
1052,на границ пропуска животн без документ,animals
1053,здравствуйте семья взрослых    детей подьезжаем к границе молдавии   если получится пересечь границу очень хотим попросить о ночлеге может кто-то может пособить,dwelling
1054,ребята   как граница поланки и староказачье изрядно загружена,border_situation
1055,У кого есть что-то около кишинева чтобы жить,dwelling
1056,Пустят ли собаку без документов,animals
1057,кто знает какие очереди мамалыга бричаны,border_situation
1058,кто знает какая ситуация на таможне мамалыга - крива,border_situation
1059,добр утр где обращат чтоб получ апартамент,dwelling
1060,кто может предлож дом,dwelling
1061,добр утр где обращат чтоб получ жил,dwelling
1062,здравствуйте кто уже пересекал границу что требуют пцр надо на животных документы тоже надо,animals
1063,Хотим снимать квартиру в Кишиневе,dwelling
1064,Где возможно выискать в кишиневе комнату на сдачу,dwelling
1065,молдов скаж пожалуйста пропуст ли животн без документов,animals
1066,какая граница не очень перегруженная в сторону молдавии если ехать с киева,best_border
1067,подскаж пожалуйст как обсто дел на пропускной пункт паланк на дан момент есл еха из одесс то лучш через паланк ил друг пункт болград рен ещ какой - т,best_border
1068,как карточка пунк лучш с сторон одес,best_border
1069,доброе утро кто подскажет по поводу сдачи квартир в кишеневе куда лучше обращаться   где искать родители вчера бежали в кишенев пока что в помещениях для временного размещении беженцев,dwelling
1070,люди как на староказачьем,border_situation
1071,здравств нужн жил ил номер в отел в кишин для взросл ребенок мес и маленьк собачк,dwelling
1072,добр ден подскаж пожалуйст кто марш границ могилев - подольск отач заеха в молдов как ситуац на кордон откр ли этот таможн таможн есл нет как ближайш вариант,border_situation
1073,добр вечер мо мам и брат едут машин к пропускн пункт могилев - подольск может ли кто - т в ближайш от нег город предлож им квартир до рассвет документ все при себ имеют спасиб,dwelling
1074,кто-то пересекал границу с животными если коты без прививок пустят,animals
1075,Нас   человек кто сдаст квартиру на несколько дней,dwelling
1076,могилёв - подольский как обстановка на границе подскажите пожалуйста,border_situation
1077,ребята   как граница поланки и староказачье слишком загружена,border_situation
1078,подскажите пожалуйста какая положение на границе в мамалыге на сколько большие очереди,border_situation
1079,сним отел на сутк в могилев - подольск с животн,dwelling
1080,сним квартир на сутк в могилев - подольск с животн,dwelling
1081,"в новостях говорили, что молдова принимает и без документов",other
1082,Как пройти границу с домашними питомцами,animals
1083,  человек из украины ищут жильё среди них дети и пожилые желательно все рядом большая семья кто может подсобить,dwelling
1084,подскажите как обстоят дела на кпп мамалыга,border_situation
1085,добр утр кто подскажет по аргумент сдач хостел в кишенев куд лучш обраща где иска родител вчер бежа в кишен пок что в помещен для времен размещен беженц,dwelling
1086,можно пересечь таможню молдавий с румынией пешком буде да то какой пункт,border_situation
1087,где можн узна как обстановк пропускн абонемент пунк рен джурджулешт можн проеха,border_situation
1088,куд в кишинев обращат чтоб получ апартамент,dwelling
1089,добрый день как обстановка на паланке и староказачьем едем с одессы подскажите пожалуйста,best_border
1090,Подскажите нас   человек нужно снять посуточно квартиры может у вас питаться варианты,dwelling
1091,подскажите пожалуйста паланка - какая ситуация много машин,border_situation
1092,Как зайти с животными,animals
1093,добрый день семья   взрослых   чадо лет уже в молдове ищем теплое жильётак как сейчас живём в неотапливаемом домебез горячей водыв новых ананах живём помогите пожалуйста,dwelling
1094,как получ дом,dwelling
1095,"‼️‼️нашла 
телеграмм эвокуация из одессы
кому отправить ссылку на канал?",other
1096,где можн найт гостиниц,dwelling
1097,у ког можн снят апартамент для сем на нескольк дне,dwelling
1098,ищу жильё для двух семей из одессы,dwelling
1099,Кто поможет поселится,dwelling
1100,Какие документы для собаки нужны чтобы пересечь границу,animals
1101,подскажите на какой границе между молдовой и румынией нет очередей,best_border
1102,наверное...,other
1103,как ситуац сейчас на пункт паланк,border_situation
1104,как найт дом в кишинев,dwelling
1105,есть семья   детей и   взрослых которой сильно нужна помощь   они доехали до тараклии машина сломалась не могу оттуда уехать дальше   возможно есть кто-то кто сможет помочь им там с жильем или подвести их до ближайших доступных пунктов помощи,dwelling
1106,подскаж как обсто дел на таможн мирноетабак очеред ест,border_situation
1107,Хотим попросить об квартире,dwelling
1108,все про паланк пишут а что - т слышн про пропускной пункт станиславк там ест волонтер какие - тоесл буд еха то через данный пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
1109,как пропускн пункт имеет меньш люд,best_border
1110,все про паланк пишут а что - т слышн про пункт станиславк там ест волонтер какие - тоесл буд еха то через этот пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
1111,На границе впустят с животными,animals
1112,ребята подскажите пожалуйста какая очередь в паланке на границе хочу ехать с   летним ребёнком нужно понимать сколько придётся стоять,border_situation
1113,подскаж пожалуйст буд еха со сторон уман к молдов на как пропускн таможн можн еха,best_border
1114,подскажите где меньше пробки для аато буде ехать из чернрвцов румыния или молдова какой пункт,best_border
1115,все про паланк пишут а что - т слышн про таможн станиславк там ест волонтер какие - тоесл буд еха то через этот пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
1116,ласковый вечер есть информация какая очеред на рени спасибо,border_situation
1117,ест очеред на абонемент пунк мамалиг как ситуац,border_situation
1118,ребята   как граница поланки и староказачье очень загружена,border_situation
1119,есть у кого-то кое-где около тараклии жилье,dwelling
1120,Как относятся пограничники к животным,animals
1121,здравствуйте семья взрослых    детей подьезжаем к границе молдавии   если получится пересечь границу очень хотим попросить о ночлеге может кто-то может помочь,dwelling
1122,над гостиниц на сем в кишинев,dwelling
1123,добр утр кто подскажет по повод сдач дом в кишенев куд лучш обраща где иска родител вчер бежа в кишен пок что в помещен для времен размещен беженц,dwelling
1124,как таможн быстр,best_border
1125,ребята как обстановка на паланке или старокозачьем очереди большие,border_situation
1126,"we can help ukrainian persons in paris, france, contact in private plz!",other
1127,ребята подскажите как обстановка на кп серпневе и по дороге туда,border_situation
1128,подскажите где меньше пробки для аато когда ехать из чернрвцов румыния или молдова какой пункт,best_border
1129,где можн узна как обстановк пропускн кпп рен джурджулешт можн проеха,border_situation
1130,добрый день подскажите сквозь какой кпп лучше сейчас двигаться из молдовы в румынию спасибо,best_border
1131,все про паланку пишут а что-то слышно про пункт станиславка там питаться волонтеры какие - тоесли буду ехать то через этот пункт так как ближе всего я с ребёнком   лет если есть хоть какая-то известие напишите пожалуйста,border_situation
1132,Можете рассказать как пройти с собакой без международного пасспорта,animals
1133,питаться у кого-то где-то около тараклии жилье,dwelling
1134,пускают ли без загранпаспортов и с животными,animals
1135,не нужно,other
1136,подскажите где меньше пробки для аато если ехать из чернрвцов румыния или молдова какой пункт,best_border
1137,как границ лучш с сторон одес,best_border
1138,добрый день подскажите как нынче в тудорах много машин,border_situation
1139,"there are people who leave from harkov, pay attention to the chat",other
1140,как сам небольш границ на молдов реальн на машин проеха,best_border
1141,все про паланк пишут а что - т слышн про таможн станиславк там ест волонтер какие - тоесл буд еха то сквозь этот пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
1142,через как таможн лучш еха есл выезжа с одесс на такс объясн пожалуйст,best_border
1143,как найт дом в кишинев,dwelling
1144,подскаж как обсто дел на проездной пунк мамалыг,border_situation
1145,все про паланку пишут а что-то слышно про пункт станиславка там есть волонтеры какие - тоесли буду ехать то через этот пункт так как ближе всего я с ребёнком   лет если есть хоть какая-то сведение напишите пожалуйста,border_situation
1146,ребята какой пропускной пункт полноте фунциклировать сегоднязавтра,best_border
1147,подскаж можн ли проех границ с животн без паспорт животн и с ребенк без нотариальн разреш для выезд спасиб,animals
1148,где возможно узнать как обстановка пропускной пункт рени джурджулешты можно проехать,border_situation
1149,можн пересеч таможн молдав с румын пешк есл да то как пункт,border_situation
1150,где найт жил в кишинев,dwelling
1151,Можно ли в Молдову с животными пересечь границу,animals
1152,спасибо огромноено на какую таможню лучше из одессы ехать,best_border
1153,добр вечер мо мам и брат едут машин к пропускн пункт могилев - подольск может ли кто - т в ближайш от нег город предлож им хостел до рассвет документ все при себ имеют спасиб,dwelling
1154,все про паланк пишут а что - т слышн про кпп станиславк там ест волонтер какие - тоесл буд еха то через этот пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
1155,подскажите пожалуйста сквозь какие кпп можно пройти пешком   желательно не со стороны одессы,best_border
1156,где найт квартир в кишинев,dwelling
1157,подскаж как обсто дел на границ мирноетабак очеред ест,border_situation
1158,здравствуйте семья взрослых    детей подьезжаем к границе молдавии   если получится пересечь границу сверх меры хотим попросить о ночлеге может кто-то может помочь,dwelling
1159,кто на паланка или старокозачем   напишите какие очереди,border_situation
1160,как найт апартамент,dwelling
1161,скаж пожалуйст на как пропускн проездной пунк молдов лучш еха где меньш очеред беремен женщин с трехлетн ребенк,best_border
1162,мягкосердечный день подскажите как нынче в тудорах много машин,border_situation
1163,подскаж пожалуйст как обсто дел на пункт паланк на дан момент есл еха из одесс то лучш через паланк ил друг пункт болград рен ещ какой - т,best_border
1164,да,other
1165,Ищем где можно пожить - дня в Кишиневе,dwelling
1166,"я еду с девушкой мне 19 ,ей 18",other
1167,Нужна жильё на одну ночь,dwelling
1168,большая очередь на границе украина - молдова через какую границу лучше ехать,best_border
1169,Подскажите как найти место где можно переночевать в Кишиневе,dwelling
1170,какая обстановка на кучурганах,border_situation
1171,"кто с киева! в больницу в центре киева срочно нужны карематы и еда, пожалуйста, помогите найти волонтеров или желающих помочь",other
1172,как ситуац сейчас на границ паланк,border_situation
1173,Есть ли вероятность у кого-то остатся на несколько дней отдохнуть,dwelling
1174,пропускн проездной пунк староказач табак подскаж как там обсто дел,border_situation
1175,ребята кто в бессарабке на пункте пропуска   как там дела   много людей если переходить пешочком,border_situation
1176,ребята подскажите как обстановка на кп серпневе и по дороге туда извините плиз раз дублирую не видела ответ,border_situation
1177,Как получить ночлег,dwelling
1178,Кто сдаёт свои дома в кишиневе,dwelling
1179,подскаж можн ли проех кпп с животн без паспорт животн и с ребенк без нотариальн разреш для выезд спасиб,animals
1180,Извините кто знает если пропустят с собакой,animals
1181,добросердечный вечер есть информация какая очеред на рени спасибо,border_situation
1182,Требуют ли документы для домашнего питомца,animals
1183,"женщина которая спросила про жельё в брашове, может поможет вам 😊",other
1184,долинское и джурджулешты какое количество людей,border_situation
1185,на как кпп еха с хмельницк област где меньш люд,best_border
1186,Впустят в Молдову с животными,animals
1187,на какой границе меньше людей   подскажите пожалуйста и где пропускают   молдова,best_border
1188,как сейчас ситуац таможн паланк и кпп старокозач,border_situation
1189,где можн найт хостел,dwelling
1190,предлагают дома в селах,other
1191,как получ ночлег,dwelling
1192,Кто знает животных пускают без пасспорта,animals
1193,Пустят ли собаку без документов,animals
1194,какая обстановка на мамалыге,border_situation
1195,Где пройти границу из Одессы,best_border
1196,на паланке стоим я беременная й месяц большая очередь как ситуация на староказачем,border_situation
1197,подскажите пожалуйста какая положение на пункте пропуска староказачье много машин,border_situation
1198,кто сдаст жил в кишинев,dwelling
1199,как сейчас обсто на проездной пунк старокозач,border_situation
1200,кто нибудь знает если есть возможность пропустить мужчину за деньги через таможню могилёв подольск? если знаете что-то напишите в директ пожалуйста!!,other
1201,17 пропускают конечно,other
1202,где можн найт дом,dwelling
1203,"здрастуйте, кто-то едет с одессы в молдову или может хотя бы до границы отвезти девушку???",other
1204,кто знает какая ситуация на таможне мамалыга - крива,border_situation
1205,"убейте его кто нибудь 👏😅
че ты это тут пишешь",other
1206,какая обстановка сейчас в джурджулешты,border_situation
1207,благодарю,other
1208,в кишин хот снят отел ил отел взросл и дет,dwelling
1209,У кого есть что-то близко кишинева чтобы жить,dwelling
1210,Где место размещения беженцев в Кишиневе,dwelling
1211,добр вечер мо мам и братан едут машин к пропускн пункт могилев - подольск может ли кто - т в ближайш от нег город предлож им хостел до рассвет документ все при себ имеют спасиб,dwelling
1212,кпп старокозач ест ли какая - т инф очеред,border_situation
1213,подскажите кто знает какая очередь могилёв - подольск ити сирец,border_situation
1214,кто может сдат отел в аренд,dwelling
1215,где лучш границ,best_border
1216,питаться очередь на кпп мамалига какая положение,border_situation
1217,пожалуйст подскаж как границ лучш еха,best_border
1218,какой кпп возле паланки самый не загруженный подскажите где самые реальные очередя не по   часов машиной,best_border
1219,здравств кто знает как обстановк на проездной пунк в окниц,border_situation
1220,В каком отели питаться свободные места,dwelling
1221,позвол ли на границ пройт с нечипирова собак,animals
1222,все про паланку пишут а что-то слышно про пункт станиславка там питаться волонтеры какие - тоесли буду ехать то через этот пункт так как ближе всего я с ребёнком   лет если есть хоть какая-то новость напишите пожалуйста,border_situation
1223,добр ден подскаж сквозь как проездной пунк лучш пересека границ мы ед из киевск област фаст,best_border
1224,Где выискать контакты людей которые сдают дома,dwelling
1225,мне тоже интересно .,other
1226,в кишин хот снят апартамент ил жил взросл и дет,dwelling
1227,добр утр кто подскажет по повод сдач жил в кишенев куд лучш обраща где иска родител вчер бежа в кишен пок что в помещен для времен размещен беженц,dwelling
1228,добрый вечер подскажите какая ситуация на границе в бричанах если пройти пешечком с   детьми большая очередь - сколько времени,border_situation
1229,Если у моей собаки нету пасспорта её пропустят,animals
1230,ищу жилье в сокирянах сегодня для семьи - дайте знать коли есть какие-либо идеи,dwelling
1231,мест в молдове много,other
1232,могилев открыт пункт таможни как там положение,border_situation
1233,здравствуйте скажите пожалуйста через какую таможню возможно проехать из одессы в молдову   какая открыта,best_border
1234,могил откр пункт таможн как там ситуац,border_situation
1235,кто знает какая ситуация на черновецко - молдавской таможняхили может есть отдельная группа спасибо,border_situation
1236,скажитеа как в могилёв - подольском чрезмерно большая очередь,border_situation
1237,Как возможно снать жильё в кишинёве,dwelling
1238,как кпп возл паланк сам не загружен подскаж где сам реальн очеред не по час машин,best_border
1239,сердечный день как обстановка на паланке и староказачьем едем с одессы подскажите пожалуйста,best_border
1240,Нужна квартира в Кишиневе,dwelling
1241,скаж где можн найт гостиниц в кишинев,dwelling
1242,скажитеа как в могилёв - подольском изрядно большая очередь,border_situation
1243,в кишин хот снят апартамент ил квартир взросл и дет,dwelling
1244,скаж пожалуйст на как пропускн кпп молдов лучш еха где меньш очеред беремен женщин с трехлетн ребенк,best_border
1245,подскаж проездной пунк пропуск сокиря на машин можн пересеч и как очеред,border_situation
1246,подскажите пожалуйста паланка - какая ситуация много машин,border_situation
1247,какая ситуация сейчас на старокозачьем,border_situation
1248,"здравствуйте! скажите, пожалуйста, если ехать из одной области украины в другую, то парней пускают нормально на блок постах 20-23 года?",other
